Scientific name,Common Name
Murgantia histrionica,Harlequin Cabbage Bug
Nezara viridula,Southern Green Stink Bug
Palomena prasina,Green shield bugs
Rhaphigaster nebulosa,mottled shieldbug
Pieris rapae,cabbage white butterfly
Pieris brassicae,Large white butterfly
Megacopta cribraria,Globular stink bug
Plutella xylostella,Diamondback moth
Pyrochroa serraticornis,Red-headed Cardinal Beetle
Zelus longipes,Milkweed Assassin Bug
Zelus renardii,Leaf Hopper Assassin Bug
Zelus luridus,Pale Green Assassin Bug
Boisea trivittata,boxelder bug
Corizus hyoscyami,Cinnamon bug
Amphimallon solstitiale,Summer Chafer
Cetonia aurata,rose chafer
Cotinis nitida,Green june beetle
Oxythyrea funesta,white spotted rose beetle
Pelidnota punctata,grapevine beetle
Phyllopertha horticola,garden chafer
Polyphylla decemlineata,watermelon beetle
Popillia japonica,Japanese beetle
Manduca sexta,Tobacco Hornworm
Hermetia illucens,black soldier fly
Episyrphus balteatus,Marmalade Hoverfly
Toxomerus marginatus,Margined Calligrapher
Toxomerus politus,Maize Calligrapher
Toxomerus geminatus,Eastern Calligrapher
Tessaratoma papillosa,Lychee Giant Stink Bug
Argyrotaenia velutinana,Red-Banded Leafroller Moth
Choristoneura rosaceana,Oblique banded leaf roller
Trialeurodes vaporariorum,greenhouse whitefly
Simosyrphus grandicornis,common hover fly
Myzus persicae,green peach aphid
Melanchra picta,Zebra Caterpillar
Epicauta pensylvanica,blister beetle
Diabrotica virgifera,western corn rootworm
Diabrotica barberi,northern corn rootworm
Asphaera lustrans,shiny flea beetle
